North,Name,Primary Exchange,Ticker,Parent Comp. Name,Fund Objective,Fund Geographical Focus,Fund Asset Class Focus,General Attribute,Tot Asset US$ (M),Expense Ratio,Avg Dvd Yield,Alpha 1Y-M,Alpha 3Y,Tot Ret 1Y,Tot Ret 3Y,Sharpe 1Y-M,Sharpe 3Y,Beta 1Y-M,Beta 3Y
No,ISHARES CORE EQUITY ETF PORT,Toronto,XEQT CN Equity,iShares ETFs/Canada,Global,Global,Equity,N.A.,1496.142,0.2,2.562,,,14.456,29.268,0.379,0.531,,
Yes,PURPOSE CASH MANAGEMENT FUND,Toronto,MNY CN Equity,Purpose Investments Inc ETFs/Canada,Government,Canada,Fixed Income,N.A.,298.092,,,,,4.8,,-2.343,,,
No,MACKENZIE US INVESTMENT GRAD,Toronto,QUIG CN Equity,Mackenzie Investments ETFs/Canada,Corporate,United States,Fixed Income,N.A.,332.191,0.17,,-0.143,-0.024,0.235,-15.973,-0.61,-0.998,0.829,0.921
No,ISHARES GLOBAL WATER INDEX E,Toronto,CWW CN Equity,iShares ETFs/Canada,Thematic,Global,Equity,N.A.,217.022,0.66,2.228,-0.061,-0.067,10.592,19.388,-0.164,0.278,0.965,0.991
No,ISHARES S&P/TSX GLOBAL BASE,Toronto,XBM CN Equity,iShares ETFs/Canada,Materials,Global,Equity,N.A.,145.367,0.61,2.655,-0.052,-0.042,7.256,66.513,0.136,0.669,0.995,0.999
No,VANGUARD FTSE DEVELOPED EURO,Toronto,VE CN Equity,Vanguard ETFs/Canada,European Region,European Region,Equity,N.A.,117.045,0.22,3.553,0.001,0.015,21.874,27.445,0.856,0.47,1.03,1.005
No,ISHARES ESG AWARE MSCI EAFE,Toronto,XSEA CN Equity,iShares ETFs/Canada,International,International,Equity,ESG,120.649,0.28,3.432,0.068,0.016,21.092,22.726,0.92,0.409,1.038,1.005
No,iShares Core MSCI Global QLT,Toronto,XDG CN Equity,iShares ETFs/Canada,Global,Global,Equity,N.A.,216.999,0.22,3.983,-0.019,-0.058,9.261,29.722,0.225,0.687,0.975,1
No,ISHARES CANADIAN HYBRID CORP,Toronto,XHB CN Equity,iShares ETFs/Canada,Corporate,Canada,Fixed Income,N.A.,146.589,0.5,,-0.12,-0.013,5.954,-3.186,-0.306,-0.693,1.191,1.077
No,ISHARES 1-10 YEAR LADDERED G,Toronto,CLG CN Equity,iShares ETFs/Canada,Government,Canada,Fixed Income,N.A.,402.815,0.17,,-0.009,-0.009,2.102,-6.913,-1.122,-1.231,0.929,0.995
No,ISHARES S&P/TSX GLOBAL GOLD,Toronto,XGD CN Equity,iShares ETFs/Canada,Materials,Global,Equity,N.A.,725.368,0.61,2.359,-0.053,-0.073,26.811,-19.605,0.453,-0.199,0.988,0.99
