Ticker,Security Name,Sector,Industry,Price,Weight,Return,Contribution
NOVOB,Novo Nordisk A/S,Health Care,Pharmaceuticals,693.50,2.15%,75.34%,103.18
NESN,Nestl S.A.,Consumer Staples,Food Products,98.90,1.94%,-6.09%,-14.09
ASML,ASML Holding N.V.,Information Technology,Semiconductors and Semiconductor Equipment,612.50,1.75%,12.17%,21.21
7203,Toyota Motor Corporation,Consumer Discretionary,Automobiles,2817.00,1.53%,45.96%,53.86
SHEL,Shell plc,Energy,Oil Gas and Consumable Fuels,26.57,1.42%,16.00%,21.93
NOVN,Novartis AG,Health Care,Pharmaceuticals,84.62,1.27%,17.80%,21.56
MC,LVMH Mot Hennessy - Louis Vuitton Socit Europenne,Consumer Discretionary,Textiles Apparel and Luxury Goods,688.50,1.27%,-1.07%,-1.54
AZN,AstraZeneca PLC,Health Care,Pharmaceuticals,102.48,1.27%,-1.28%,-1.84
ROG,Roche Holding AG,Health Care,Pharmaceuticals,238.75,1.22%,-23.95%,-42.89
TTE,TotalEnergies SE,Energy,Oil Gas and Consumable Fuels,62.79,1.02%,17.78%,17.20
SAP,SAP SE,Information Technology,Software,135.42,0.97%,29.96%,25.07
HSBA,HSBC Holdings plc,Financials,Banks,6.08,0.97%,38.60%,30.23
BHP,BHP Group Limited,Materials,Metals and Mining,45.40,0.96%,9.16%,9.04
ULVR,Unilever PLC,Consumer Staples,Personal Care Products,39.48,0.80%,3.88%,3.35
6758,Sony Group Corporation,Consumer Discretionary,Household Durables,12655.00,0.72%,9.88%,7.20
CBA,Commonwealth Bank of Australia,Financials,Banks,101.31,0.71%,0.77%,0.61
SIE,Siemens Aktiengesellschaft,Industrials,Industrial Conglomerates,132.90,0.70%,11.57%,8.09
8306,Mitsubishi UFJ Financial Group Inc.,Financials,Banks,1253.00,0.69%,84.48%,35.52
1299,AIA Group Limited,Financials,Insurance,70.50,0.68%,-1.49%,-1.15
OR,L'Oral S.A.,Consumer Staples,Personal Care Products,414.65,0.68%,21.25%,13.25
