Symbol,Company,Description,Sector,Industry,Weights
NOVOB,N/A,N/A,N/A,N/A,N/A
NESN,N/A,N/A,N/A,N/A,N/A
ASML,ASML Holding N.V.,"ASML Holding N.V. develops, produces, markets, sells, and services advanced semiconductor equipment systems consisting of lithography, metrology, and inspection systems for memory and logic chipmakers. The company provides extreme ultraviolet lithography systems; and deep ultraviolet lithography systems comprising immersion and dry lithography solutions to manufacture various range of semiconductor nodes and technologies. It also offers metrology and inspection systems, including YieldStar optical metrology solutions to assess the quality of patterns on the wafers; and HMI e-beam solutions to locate and analyze individual chip defects. In addition, the company provides computational lithography and lithography process and control software solutions; and refurbishes and upgrades older lithography systems, as well as offers customer support and associated services. It operates in Japan, South Korea, Singapore, Taiwan, China, rest of Asia, the Netherlands, rest of Europe, the Middle East, Africa, and the United States. The company was formerly known as ASM Lithography Holding N.V. and changed its name to ASML Holding N.V. in 2001. ASML Holding N.V. was founded in 1984 and is headquartered in Veldhoven, the Netherlands.",Technology,Semiconductor Equipment & Materials,1.75%
7203,N/A,N/A,N/A,N/A,N/A
SHEL,Shell plc,"Shell plc operates as an energy and petrochemical company Europe, Asia, Oceania, Africa, the United States, and Rest of the Americas. The company operates through Integrated Gas, Upstream, Marketing, Chemicals and Products, and Renewables and Energy Solutions segments. It explores for and extracts crude oil, natural gas, and natural gas liquids; markets and transports oil and gas; produces gas-to-liquids fuels and other products; and operates upstream and midstream infrastructure necessary to deliver gas to market. The company also markets and trades natural gas, liquefied natural gas (LNG), crude oil, electricity, carbon-emission rights; and markets and sells LNG as a fuel for heavy-duty vehicles. In addition, it trades in and refines crude oil and other feed stocks, such as low-carbon fuels, lubricants, bitumen, sulphur, gasoline, diesel, aviation fuel, and marine fuel; produces and sells petrochemicals for industrial use; and manages oil sands activities. Further, the company produces base chemicals comprising ethylene, propylene, and aromatics, as well as intermediate chemicals, such as styrene monomer, propylene oxide, solvents, detergent alcohols, ethylene oxide, and ethylene glycol. Additionally, it generates electricity through wind and solar resources; produces and sells hydrogen; and provides electric vehicle charging services. The company was formerly known as Royal Dutch Shell plc and changed its name to Shell plc in January 2022. Shell plc was founded in 1907 and is headquartered in London, the United Kingdom.",Energy,Oil & Gas Integrated,1.42%
NOVN,N/A,N/A,N/A,N/A,N/A
MC,Moelis & Company,"Moelis & Company operates as an investment banking advisory firm. It offers advisory services in the areas of mergers and acquisitions, recapitalizations and restructurings, capital markets transactions, and other corporate finance matters. The company offers its services to public multinational corporations, middle market private companies, financial sponsors, entrepreneurs, governments, and sovereign wealth funds. The company serves its clients in North and South America, Europe, the Middle East, Asia, and Australia. It has strategic alliances in Mexico with Alfaro, Dávila y Scherer, S.C.; and in Australia with MA Financial Group Limited. The company was founded in 2007 and is headquartered in New York, New York.",Financial Services,Capital Markets,1.27%
AZN,AstraZeneca PLC,"AstraZeneca PLC, a biopharmaceutical company, focuses on the discovery, development, manufacture, andcommercialization of prescription medicines. The company's marketed products include Calquence, Enhertu, Faslodex, Imfinzi, Iressa, Koselugo, Lumoxiti, Lynparza, Orpathys, Tagrisso, and Zoladex for oncology; Andexxa/Ondexxya, Atacand, Atacand HCT, Atacand Plus, Brilinta/Brilique, Bydureon/Byetta, BCise, Byetta, Crestor, Evrenzo, Farxiga/Forxiga, Komboglyze/Kombiglyze XR, Lokelma, Onglyza, Qtern, Xigduo/Xigduo, and Zestril XR for cardiovascular, renal, and metabolism diseases; Accolate, Accoleit, Vanticon, Bevespi Aerosphere, Breztri Aerosphere, Bricanyl Respules and Turbuhaler, Daliresp/Daxas, Duaklir Genuair, Fasenra, Pulmicort, Rhinocort, Saphnelo, Symbicort, and Tezspire for respiratory and immunology; and Kanuma, Soliris, Strensiq, and Ultomiris for rare diseases. Its marketed products also comprise Synagis for respiratory syncytial virus; Fluenz Tetra/FluMist Quadrivalent for Influenza; and Vaxzevria and Evusheld for covid-19. The company serves primary care and specialty care physicians through distributors and local representative offices in the United Kingdom, rest of Europe, the Americas, Asia, Africa, and Australasia. It has a collaboration agreement with Neurimmune AG to develop and commercialize NI006; and Personalis, Inc, as well as research collaboration with Sernova Corp. to evaluate novel potential therapeutic cell applications; and collaboration with Cholesgen (Shanghai) Co.Ltd. to advance research and development in hypercholesterolemia and related metabolic diseases, as well as a collaboration with BioCity Biopharma to evaluate a monoclonal antibody for the treatment of advanced hepatocellular carcinoma and a collaboration agreement with Cellectis. The company was formerly known as Zeneca Group PLC and changed its name to AstraZeneca PLC in April 1999. AstraZeneca PLC was incorporated in 1992 and is headquartered in Cambridge, the United Kingdom.",Healthcare,Drug Manufacturers - General,1.27%
ROG,Rogers Corporation,"Rogers Corporation engages in the design, development, manufacture, and sale of engineered materials and components worldwide. It operates through Advanced Electronics Solutions (AES), Elastomeric Material Solutions (EMS), and Other segments. The AES segment offers circuit materials, ceramic substrate materials, busbars, and cooling solutions for applications in electric and hybrid electric vehicles (EV/HEV), wireless infrastructure, automotive, telematics and thermal solutions, aerospace and defense, mass transit, clean energy, connected devices, and wired infrastructure. This segment sells its products under the curamik, ROLINX, RO4000, RO3000, RT/duroid, CLTE Series, TMM, AD Series, DiClad, CuClad Series, Kappa, COOLSPAN, TC Series, 92ML, IsoClad, MAGTREX, XTremeSpeed RO1200, IM Series, 2929 Bondply, 3001 Bondply Film, Radix, and SpeedWave names. The EMS segment provides engineered material solutions, including polyurethane and silicone materials used in cushioning, gasketing, sealing, and vibration management applications; customized silicones used in flex heater and semiconductor thermal applications; and polytetrafluoroethylene and ultra-high molecular weight polyethylene materials used in wire and cable protection, electrical insulation, conduction and shielding, hose and belt protection, vibration management, cushioning, gasketing and sealing, and venting applications. This segment sells its products under the PORON, BISCO, DeWAL, ARLON, eSorba, XRD, Silicone Engineering, and R/bak names. The Other segment provides elastomer components; and elastomer floats for level sensing in fuel tanks, motors, and storage tanks for applications in the general industrial and automotive markets under the ENDUR and NITROPHYL names. The company was founded in 1832 and is headquartered in Chandler, Arizona.",Technology,Electronic Components,1.22%
TTE,TotalEnergies SE,"TotalEnergies SE, a multi-energy company, produces and markets fuels, natural gas, and electricity in France, rest of Europe, North America, Africa, and internationally. It operates through Integrated Gas, Renewables & Power; Exploration & Production; Refining & Chemicals; and Marketing & Services segments. The Integrated Gas, Renewables & Power segment engages in integrated gas, including liquified natural gas (LNG), and low carbon electricity businesses; and upstream and midstream LNG activities. Its Exploration & Production segment offers carbon storage and nature-based solutions. The Refining & Chemicals segment provides refining, petrochemicals, and specialty chemicals; and supply and trading of oil, and marine shipping services. Its Marketing & Services segment engages in the supply and marketing of petroleum products. TotalEnergies SE was formerly known as TOTAL SE and changed its name to TotalEnergies SE in June 2021. The company was founded in 1924 and is headquartered in Courbevoie, France.",Energy,Oil & Gas Integrated,1.02%
