Ticker,Security Name,Sector,Industry,Price,Weight,Return,Contribution
MSFT,Microsoft Corporation,Information Technology,Software,366.68,5.39%,49.82%,189.18
AAPL,Apple Inc.,Information Technology,Technology Hardware Storage and Peripherals,184.80,5.23%,24.14%,107.48
AMZN,Amazon.com Inc.,Consumer Discretionary,Broadline Retail,142.59,1.58%,41.47%,48.83
META,Meta Platforms Inc.,Communication Services,Interactive Media and Services,329.19,1.52%,191.27%,105.46
XOM,Exxon Mobil Corporation,Energy,Oil Gas and Consumable Fuels,104.84,1.14%,-4.09%,-5.11
GOOGL,Alphabet Inc.,Communication Services,Interactive Media and Services,132.09,1.06%,37.01%,30.12
NVDA,NVIDIA Corporation,Information Technology,Semiconductors and Semiconductor Equipment,486.20,1.03%,197.97%,72.19
LLY,Eli Lilly and Company,Health Care,Pharmaceuticals,612.71,1.00%,76.12%,45.50
AVGO,Broadcom Inc.,Information Technology,Semiconductors and Semiconductor Equipment,946.93,0.98%,87.63%,48.18
BRKB,Berkshire Hathaway Inc.,Financials,Financial Services,350.01,0.96%,13.01%,11.63
GOOG,Alphabet Inc.,Communication Services,Interactive Media and Services,133.64,0.92%,38.16%,26.77
JPM,JPMorgan Chase & Co.,Financials,Banks,145.78,0.89%,10.96%,9.30
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,147.63,0.88%,-10.27%,-10.67
UNH,UnitedHealth Group Incorporated,Health Care,Health Care Providers and Services,542.57,0.83%,5.45%,4.51
V,Visa Inc.,Financials,Financial Services,244.67,0.81%,20.30%,14.46
MA,Mastercard Incorporated,Financials,Financial Services,394.35,0.70%,16.94%,10.75
PG,The Procter & Gamble Company,Consumer Staples,Household Products,152.46,0.68%,10.90%,7.03
CVX,Chevron Corporation,Energy,Oil Gas and Consumable Fuels,144.00,0.60%,-19.96%,-15.67
HD,The Home Depot Inc.,Consumer Discretionary,Specialty Retail,288.07,0.59%,-6.05%,-3.99
PEP,PepsiCo Inc.,Consumer Staples,Beverages,167.77,0.58%,-3.20%,-2.02
ABBV,AbbVie Inc.,Health Care,Biotechnology,138.64,0.51%,-3.94%,-2.20
ADBE,Adobe Inc.,Information Technology,Software,590.34,0.50%,73.04%,22.40
ACN,Accenture plc,Information Technology,IT Services,315.63,0.49%,10.53%,4.89
KO,The Coca-Cola Company,Consumer Staples,Beverages,56.93,0.45%,-4.31%,-2.14
CMCSA,Comcast Corporation,Communication Services,Media,41.49,0.44%,25.54%,9.52
WMT,Walmart Inc.,Consumer Staples,Consumer Staples Distribution and Retail,167.68,0.43%,19.40%,7.44
COP,ConocoPhillips,Energy,Oil Gas and Consumable Fuels,115.36,0.43%,-9.82%,-4.95
CSCO,Cisco Systems Inc.,Information Technology,Communications Equipment,52.23,0.43%,20.19%,7.55
TSLA,Tesla Inc.,Consumer Discretionary,Automobiles,223.71,0.41%,14.16%,5.35
UNP,Union Pacific Corporation,Industrials,Ground Transportation,209.40,0.39%,-1.24%,-0.52
VZ,Verizon Communications Inc.,Communication Services,Diversified Telecommunication Services,35.82,0.38%,0.39%,0.16
COST,Costco Wholesale Corporation,Consumer Staples,Consumer Staples Distribution and Retail,578.23,0.38%,13.02%,4.61
ORCL,Oracle Corporation,Information Technology,Software,114.15,0.37%,49.07%,12.97
IBM,International Business Machines Corporation,Information Technology,IT Services,148.10,0.36%,8.58%,3.03
PFE,Pfizer Inc.,Health Care,Pharmaceuticals,28.98,0.35%,-36.36%,-21.20
QCOM,QUALCOMM Incorporated,Information Technology,Semiconductors and Semiconductor Equipment,123.85,0.35%,4.72%,1.66
CAT,Caterpillar Inc.,Industrials,Machinery,241.67,0.34%,4.28%,1.46
BAC,Bank of America Corporation,Financials,Banks,27.70,0.33%,-25.80%,-12.11
LIN,Linde plc,Materials,Chemicals,399.75,0.32%,22.78%,6.26
MRK,Merck & Co. Inc.,Health Care,Pharmaceuticals,102.47,0.31%,7.47%,2.30
INTC,Intel Corporation,Information Technology,Semiconductors and Semiconductor Equipment,38.23,0.31%,28.56%,7.17
AXP,American Express Company,Financials,Consumer Finance,154.34,0.30%,1.12%,0.36
TXN,Texas Instruments Incorporated,Information Technology,Semiconductors and Semiconductor Equipment,145.87,0.30%,-16.18%,-6.14
BMY,Bristol-Myers Squibb Company,Health Care,Pharmaceuticals,50.15,0.29%,-31.63%,-14.03
AMAT,Applied Materials Inc.,Information Technology,Semiconductors and Semiconductor Equipment,149.74,0.28%,36.77%,8.04
TMO,Thermo Fisher Scientific Inc.,Health Care,Life Sciences Tools and Services,445.15,0.28%,-17.15%,-6.19
DE,Deere & Company,Industrials,Machinery,369.76,0.28%,-7.79%,-2.51
HON,Honeywell International Inc.,Industrials,Industrial Conglomerates,186.51,0.28%,-10.39%,-3.41
AMGN,Amgen Inc.,Health Care,Biotechnology,266.69,0.27%,-3.28%,-0.97
UPS,United Parcel Service Inc.,Industrials,Air Freight and Logistics,138.17,0.26%,-19.38%,-6.64
ABT,Abbott Laboratories,Health Care,Health Care Equipment and Supplies,95.79,0.26%,-6.13%,-1.80
WFC,Wells Fargo & Company,Financials,Banks,40.77,0.26%,-11.58%,-3.58
NKE,NIKE Inc.,Consumer Discretionary,Textiles Apparel and Luxury Goods,104.20,0.26%,-0.54%,-0.15
GILD,Gilead Sciences Inc.,Health Care,Biotechnology,74.93,0.26%,-4.96%,-1.41
TJX,The TJX Companies Inc.,Consumer Discretionary,Specialty Retail,91.14,0.25%,25.25%,5.22
ELV,Elevance Health Inc.,Health Care,Health Care Providers and Services,461.39,0.23%,-4.95%,-1.29
LMT,Lockheed Martin Corporation,Industrials,Aerospace and Defense,445.03,0.23%,-1.55%,-0.38
MPC,Marathon Petroleum Corporation,Energy,Oil Gas and Consumable Fuels,146.76,0.23%,23.99%,4.66
DIS,The Walt Disney Company,Communication Services,Entertainment,89.44,0.23%,-5.86%,-1.49
T,AT&T Inc.,Communication Services,Diversified Telecommunication Services,15.58,0.22%,-12.73%,-3.37
EOG,EOG Resources Inc.,Energy,Oil Gas and Consumable Fuels,123.06,0.22%,-12.32%,-3.22
MMC,Marsh & McLennan Companies Inc.,Financials,Insurance,200.17,0.21%,21.88%,4.04
LRCX,Lam Research Corporation,Information Technology,Semiconductors and Semiconductor Equipment,673.43,0.21%,36.24%,5.94
CI,The Cigna Group,Health Care,Health Care Providers and Services,294.12,0.21%,-1.55%,-0.35
KVUE,Kenvue Inc.,Consumer Staples,Personal Care Products,19.10,0.21%,,
RTX,RTX Corporation,Industrials,Aerospace and Defense,82.03,0.20%,-10.24%,-2.45
NUE,Nucor Corporation,Materials,Metals and Mining,152.94,0.20%,11.74%,2.19
CRM,Salesforce Inc.,Information Technology,Software,215.28,0.20%,36.49%,5.55
