Ticker,Security Name,Sector,Industry,Price,Weight,Return,Contribution
AMZN,Amazon.com Inc.,Consumer Discretionary,Broadline Retail,142.59,1.76%,41.47%,65.53
MSFT,Microsoft Corporation,Information Technology,Software,366.68,1.75%,49.82%,74.08
ADBE,Adobe Inc.,Information Technology,Software,590.34,1.73%,73.04%,93.17
PGR,The Progressive Corporation,Financials,Insurance,161.92,1.68%,28.65%,47.47
TT,Trane Technologies plc,Industrials,Building Products,224.44,1.59%,29.53%,46.16
MA,Mastercard Incorporated,Financials,Financial Services,394.35,1.53%,16.94%,28.19
UNH,UnitedHealth Group Incorporated,Health Care,Health Care Providers and Services,542.57,1.49%,5.45%,9.84
ACN,Accenture plc,Information Technology,IT Services,315.63,1.49%,10.53%,18.10
V,Visa Inc.,Financials,Financial Services,244.67,1.49%,20.30%,31.95
INTU,Intuit Inc.,Information Technology,Software,532.18,1.49%,31.37%,45.15
CME,CME Group Inc.,Financials,Capital Markets,217.08,1.38%,30.91%,41.49
CMCSA,Comcast Corporation,Communication Services,Media,41.49,1.38%,25.54%,35.64
YUM,Yum! Brands Inc.,Consumer Discretionary,Hotels Restaurants and Leisure,125.31,1.36%,3.50%,5.87
ABBV,AbbVie Inc.,Health Care,Biotechnology,138.64,1.36%,-3.94%,-7.11
PEG,Public Service Enterprise Group Incorporated,Utilities,Multi-Utilities,61.34,1.36%,9.26%,14.67
META,Meta Platforms Inc.,Communication Services,Interactive Media and Services,329.19,1.35%,191.27%,112.78
MDLZ,Mondelez International Inc.,Consumer Staples,Food Products,69.30,1.34%,9.39%,14.67
PEP,PepsiCo Inc.,Consumer Staples,Beverages,167.77,1.33%,-3.20%,-5.61
CMG,Chipotle Mexican Grill Inc.,Consumer Discretionary,Hotels Restaurants and Leisure,2150.43,1.31%,42.76%,49.92
COST,Costco Wholesale Corporation,Consumer Staples,Consumer Staples Distribution and Retail,578.23,1.29%,13.02%,18.87
KO,The Coca-Cola Company,Consumer Staples,Beverages,56.93,1.29%,-4.31%,-7.37
LLY,Eli Lilly and Company,Health Care,Pharmaceuticals,612.71,1.27%,76.12%,70.12
ETN,Eaton Corporation plc,Industrials,Electrical Equipment,222.57,1.27%,40.23%,46.27
LIN,Linde plc,Materials,Chemicals,399.75,1.27%,22.78%,29.89
VRTX,Vertex Pharmaceuticals Incorporated,Health Care,Biotechnology,378.92,1.26%,24.95%,31.92
HON,Honeywell International Inc.,Industrials,Industrial Conglomerates,186.51,1.25%,-10.39%,-18.42
GOOGL,Alphabet Inc.,Communication Services,Interactive Media and Services,132.09,1.23%,37.01%,42.43
APD,Air Products and Chemicals Inc.,Materials,Chemicals,265.03,1.21%,-5.93%,-9.71
LOW,Lowe's Companies Inc.,Consumer Discretionary,Specialty Retail,193.84,1.18%,-5.32%,-8.47
NXPI,NXP Semiconductors N.V.,Information Technology,Semiconductors and Semiconductor Equipment,184.84,1.18%,11.08%,15.03
TRV,The Travelers Companies Inc.,Financials,Insurance,171.00,1.18%,-3.80%,-5.92
BMY,Bristol-Myers Squibb Company,Health Care,Pharmaceuticals,50.15,1.12%,-31.63%,-66.07
TXN,Texas Instruments Incorporated,Information Technology,Semiconductors and Semiconductor Equipment,145.87,1.10%,-16.18%,-27.06
CL,Colgate-Palmolive Company,Consumer Staples,Household Products,75.95,1.04%,4.48%,5.67
UPS,United Parcel Service Inc.,Industrials,Air Freight and Logistics,138.17,1.03%,-19.38%,-31.50
