Ticker,Security Name,Sector,Industry,Price,Weight,Return,Contribution
NOVOB,Novo Nordisk A/S,Health Care,Pharmaceuticals,700.70,2.66%,72.91%,130.44
NESN,Nestl S.A.,Consumer Staples,Food Products,99.75,2.43%,-8.73%,-27.12
ASML,ASML Holding N.V.,Information Technology,Semiconductors and Semiconductor Equipment,625.70,2.40%,12.13%,30.23
MC,LVMH Mot Hennessy - Louis Vuitton Socit Europenne,Consumer Discretionary,Textiles Apparel and Luxury Goods,704.10,2.02%,2.17%,4.99
SHEL,Shell plc,Energy,Oil Gas and Consumable Fuels,26.13,1.97%,19.70%,37.73
ROG,Roche Holding AG,Health Care,Pharmaceuticals,237.60,1.71%,-19.82%,-49.31
AZN,AstraZeneca PLC,Health Care,Pharmaceuticals,101.92,1.70%,-6.01%,-12.63
AI,L'Air Liquide S.A.,Materials,Chemicals,171.58,1.39%,27.91%,35.37
BP,BP p.l.c.,Energy,Oil Gas and Consumable Fuels,4.77,1.38%,8.81%,13.05
ALV,Allianz SE,Financials,Insurance,230.35,1.38%,19.35%,25.97
OR,L'Oral S.A.,Consumer Staples,Personal Care Products,425.65,1.29%,23.95%,29.03
NOVN,Novartis AG,Health Care,Pharmaceuticals,85.07,1.25%,12.82%,16.61
SU,Schneider Electric S.E.,Industrials,Electrical Equipment,163.88,1.18%,18.75%,21.64
BHP,BHP Group Limited,Materials,Metals and Mining,47.40,1.16%,15.36%,17.98
REL,RELX PLC,Industrials,Professional Services,30.06,1.14%,31.67%,31.87
0NQM,Vinci SA,Industrials,Construction and Engineering,108.97,1.12%,17.49%,19.37
STLAM,Stellantis N.V.,Consumer Discretionary,Automobiles,18.56,1.06%,39.31%,34.95
7203,Toyota Motor Corporation,Consumer Discretionary,Automobiles,2735.00,1.05%,37.28%,33.08
III,3i Group plc,Financials,Capital Markets,21.51,1.03%,68.82%,48.90
0XXT,Atlas Copco AB,Industrials,Machinery,160.30,1.03%,26.25%,24.91
SAP,SAP SE,Information Technology,Software,139.44,0.99%,33.49%,29.06
6758,Sony Group Corporation,Consumer Discretionary,Household Durables,12895.00,0.99%,13.43%,13.63
VOLVB,AB Volvo (publ),Industrials,Machinery,233.85,0.94%,30.15%,25.38
IBE,Iberdrola S.A.,Utilities,Electric Utilities,11.04,0.93%,7.64%,7.71
4063,Shin-Etsu Chemical Co. Ltd.,Materials,Chemicals,5175.00,0.92%,51.55%,36.42
RIO,Rio Tinto Group,Materials,Metals and Mining,127.37,0.91%,27.51%,22.75
8316,Sumitomo Mitsui Financial Group Inc.,Financials,Banks,7379.00,0.90%,64.73%,41.06
DGE,Diageo plc,Consumer Staples,Beverages,27.98,0.89%,-23.07%,-30.93
8035,Tokyo Electron Limited,Information Technology,Semiconductors and Semiconductor Equipment,24170.00,0.87%,65.85%,40.36
8058,Mitsubishi Corporation,Industrials,Trading Companies and Distributors,6967.00,0.87%,58.42%,37.21
CAP,Capgemini SE,Information Technology,IT Services,177.75,0.87%,2.08%,2.05
DTE,Deutsche Telekom AG,Communication Services,Diversified Telecommunication Services,21.59,0.85%,14.01%,12.23
6861,Keyence Corporation,Information Technology,Electronic Equipment Instruments and Components,62710.00,0.84%,6.34%,5.85
NDAFI,Nordea Bank Abp,Financials,Banks,10.36,0.83%,14.47%,12.27
6501,Hitachi Ltd.,Industrials,Industrial Conglomerates,10220.00,0.82%,41.70%,28.09
SAF,Safran SA,Industrials,Aerospace and Defense,160.96,0.82%,41.66%,27.99
