Description,Unnamed: 1,Security,Ticker,Position (Shares),Pos Change,% Outstanding,% NAV,Market Value,Market Value Change,Filing Date,Country/Region,Sector,Subsector,Asset Type,Security Type,Security Subtype,Maturity,Duration,Coupon,Cosine Similarity
"Church & Dwight Co. , Inc. develops , manufactures , markets household , personal care , specialty products . operates three segments : Consumer Domestic , Consumer International , Specialty Products Division . company offers cat litters , carpet deodorizers , laundry detergents , baking soda , well baking soda based products ARM & HAMMER brand ; condoms , lubricants , vibrators TROJAN brand ; stain removers , cleaning solutions , laundry detergents , bleach alternatives OXICLEAN brand ; toothbrushes SPINBRUSH brand ; home pregnancy ovulation test kits FIRST RESPONSE brand ; depilatories NAIR brand ; oral analgesics ORAJEL brand ; laundry detergents XTRA brand ; gummy dietary supplements L'IL CRITTERS VITAFUSION brands ; dry shampoos BATISTE brand ; water flossers showerheads WATERPIK brand ; cold shortening relief products ZICAM brand ; oral care products THERABREATH brand ; acne treatment products HERO brand . specialty products include animal productivity products , MEGALAC rumen bypass fat , supplement enables cows maintain energy levels period high milk production ; BIO-CHLOR FERMENTEN , used reduce health issues associated calving , well provides needed protein ; CELMANAX refined functional carbohydrate , yeast-based prebiotic . company offers sodium bicarbonate ; cleaning deodorizing products . sells consumer products supermarkets , mass merchandisers , wholesale clubs , drugstores , convenience stores , home stores , dollar discount stores , pet specialty stores , websites e-commerce channels ; specialty products industrial customers livestock producers distributors . company founded 1846 headquartered Ewing , New Jersey .",,Church & Dwight Co Inc,CHD US,"2,157,023",291,0.88,0.67,198.36MLN,"26,760.36",11/2/2023,United States,Consumer Staples,Consumer Staple Products,Equity,Common Stock,Common Stock,--,--,--,0.28712335228919983
"Burlington Stores , Inc. operates retailer branded apparel products United States . company provides fashion-focused merchandise , including women 's ready-to-wear apparel , menswear , youth apparel , footwear , accessories , toys , gifts , coats , well baby , home , beauty products . operates stores Burlington Stores , Cohoes Fashions brand names Puerto Rico . Burlington Stores , Inc. founded 1972 headquartered Burlington , New Jersey .",,Burlington Stores Inc,BURL US,"102,328","9,188",0.16,0.04,12.92MLN,1160000,11/2/2023,United States,Consumer Discretionary,Retail & Whsle - Discretionary,Equity,Common Stock,Common Stock,--,--,--,0.2869521379470825
"Union Pacific Corporation , subsidiary , Union Pacific Railroad Company , operates railroad business United States . company offers transportation services grain grain products , fertilizers , food refrigerated products , coal renewables grain processors , animal feeders , ethanol producers , agricultural users ; petroleum , liquid petroleum gases ; construction products , industrial chemicals , plastics , forest products , specialized products , metals ores , soda ash , sand , well finished automobiles , automotive parts , merchandise intermodal containers . company founded 1862 headquartered Omaha , Nebraska .",,Union Pacific Corp,UNP US,"430,661",57,0.07,0.31,91.04MLN,"12,049.23",11/2/2023,United States,Industrials,Industrial Services,Equity,Common Stock,Common Stock,--,--,--,0.27647438645362854
"Norfolk Southern Corporation , together subsidiaries , engages rail transportation raw materials , intermediate products , finished goods United States . company transports agriculture , forest , consumer products comprising soybeans , wheat , corn , fertilizers , livestock poultry feed , food products , food oils , flour , sweeteners , ethanol , lumber wood products , pulp board paper products , wood fibers , wood pulp , beverages , canned goods ; chemicals consist sulfur related chemicals , petroleum products comprising crude oil , chlorine bleaching compounds , plastics , rubber , industrial chemicals , chemical wastes , sand , natural gas liquids ; metals construction materials , steel , aluminum products , machinery , scrap metals , cement , aggregates , minerals , clay , transportation equipment , military-related products ; automotive , including finished motor vehicles automotive parts , well coal . also transports overseas freight various Atlantic Gulf Coast ports ; provides commuter rail passenger transportation services ; operates intermodal network . December 31 , 2022 , company operated approximately 19,100 route miles 22 states District Columbia . Norfolk Southern Corporation incorporated 1980 headquartered Atlanta , Georgia .",,Norfolk Southern Corp,NSC US,"949,405",129,0.42,0.61,182.15MLN,"24,749.94",11/2/2023,United States,Industrials,Industrial Services,Equity,Common Stock,Common Stock,--,--,--,0.2720872759819031
"Dow Inc. , subsidiaries , engages provision various materials science solutions packaging , infrastructure , mobility , consumer applications United States , Canada , Europe , Middle East , Africa , India , Asia Pacific , Latin America . operates Packaging & Specialty Plastics , Industrial Intermediates & Infrastructure , Performance Materials & Coatings segments . Packaging & Specialty Plastics segment provides ethylene , propylene aromatics products ; polyethylene , polyolefin elastomers , ethylene vinyl acetate , ethylene propylene diene monomer rubbers mobility transportation , consumer , wire cable , construction end-markets . Industrial Intermediates & Infrastructure segment offers purified ethylene propylene oxides , ethylene ethanol amines , propylene glycol polyether polyols , aromatic isocyanates polyurethane systems , coatings , adhesives , sealants , elastomers , composites . segment also provides caustic soda , ethylene dichloride vinyl chloride monomers ; cellulose ethers , redispersible latex powders , acrylic emulsions . Performance Materials Coatings segment provides architectural paints coatings , industrial coatings used maintenance protective industries , wood , metal packaging , traffic markings , thermal paper , leather ; silicon metal , siloxanes , intermediates used key materials manufacturing differentiated downstream silicone products . also engages property casualty insurance , well reinsurance business . Dow Inc. incorporated 2018 headquartered Midland , Michigan .",,Dow Inc,DOW US,"1,915,314",258,0.27,0.32,93.83MLN,"12,639.42",11/2/2023,United States,Materials,Materials,Equity,Common Stock,Common Stock,--,--,--,0.26242300868034363
"Procter & Gamble Company provides branded consumer packaged goods worldwide . operates five segments : Beauty ; Grooming ; Health Care ; Fabric & Home Care ; Baby , Feminine & Family Care . Beauty segment offers conditioners , shampoos , styling aids , treatments Head & Shoulders , Herbal Essences , Pantene , Rejoice brands ; antiperspirants deodorants , personal cleansing , skin care products Olay , Old Spice , Safeguard , Secret , SK-II brands . Grooming segment provides shave care products appliances Braun , Gillette , Venus brand names . Health Care segment offers toothbrushes , toothpastes , oral care products Crest Oral-B brand names ; gastrointestinal , rapid diagnostics , respiratory , vitamins/minerals/supplements , pain relief , personal health care products Metamucil , Neurobion , Pepto-Bismol , Vicks brands . Fabric & Home Care segment provides fabric enhancers , laundry additives , laundry detergents Ariel , Downy , Gain , Tide brands ; air care , dish care , P & G professional , surface care products Cascade , Dawn , Fairy , Febreze , Mr. Clean , Swiffer brands . Baby , Feminine & Family Care segment offers baby wipes , taped diapers , pants Luvs Pampers brands ; adult incontinence feminine care products Always , Always Discreet , Tampax brands ; paper towels , tissues , toilet papers Bounty , Charmin , Puffs brands . company sells products primarily mass merchandisers , e-commerce , grocery stores , membership club stores , drug stores , department stores , distributors , wholesalers , specialty beauty stores , high-frequency stores , pharmacies , electronics stores , professional channels , well directly consumers . Procter & Gamble Company founded 1837 headquartered Cincinnati , Ohio",,Procter & Gamble Co/The,PG US,"1,773,466",240,0.08,0.91,268.57MLN,"36,345.60",11/2/2023,United States,Consumer Staples,Consumer Staple Products,Equity,Common Stock,Common Stock,--,--,--,0.2529127597808838
"McDonald 's Corporation operates franchises McDonald 's restaurants United States internationally . company 's restaurants offer hamburgers cheeseburgers , chicken sandwiches nuggets , fries , salads , shakes , frozen desserts , sundaes , soft serve cones , bakery items , soft drinks , coffee , beverages beverages , well breakfast menu , including muffins , Sausages , biscuit bagel sandwiches , oatmeal , hash browns , breakfast burritos hotcakes . McDonald 's Corporation founded 1940 headquartered Chicago , Illinois .",,McDonald's Corp,MCD US,"92,822",12,0.01,0.08,24.77MLN,"3,202.20",11/2/2023,United States,Consumer Discretionary,Consumer Discretionary Services,Equity,Common Stock,Common Stock,--,--,--,0.2505059838294983
"Kimberly-Clark Corporation , together subsidiaries , manufactures markets personal care consumer tissue products worldwide . operates three segments : Personal Care , Consumer Tissue , K-C Professional . company 's Personal Care segment offers disposable diapers , training youth pants , swimpants , baby wipes , feminine incontinence care products , reusable underwear , related products Huggies , Pull-Ups , Little Swimmers , GoodNites , DryNites , Sweety , Kotex , U Kotex , Intimus , Thinx , Poise , Depend , Plenitud , Softex , brand names . Consumer Tissue segment provides facial bathroom tissues , paper towels , napkins , related products Kleenex , Scott , Cottonelle , Viva , Andrex , Scottex , Neve , brand names . company 's K-C Professional segment offers wipers , tissues , towels , apparel , soaps , sanitizers Kleenex , Scott , WypAll , Kimtech , KleenGuard brands . addition , sells household use products directly supermarkets , mass merchandisers , drugstores , warehouse clubs , variety department stores , retail outlets , well distributors e-commerce ; away-from-home use products directly manufacturing , lodging , office building , food service , public facilities , well e-commerce . company founded 1872 headquartered Dallas , Texas .",,Kimberly-Clark Corp,KMB US,"1,746,348",237,0.52,0.71,211.40MLN,"28,688.85",11/2/2023,United States,Consumer Staples,Consumer Staple Products,Equity,Common Stock,Common Stock,--,--,--,0.24489685893058777
"Deere & Company manufactures distributes various equipment worldwide . company operates four segments : Production Precision Agriculture , Small Agriculture Turf , Construction Forestry , Financial Services . Production Precision Agriculture segment provides mid-size tractors , combines , cotton pickers strippers , sugarcane harvesters , harvesting front-end equipment , sugarcane loaders , pull-behind scrapers , tillage seeding equipment , well application equipment , including sprayers nutrient management , soil preparation machinery grain growers . Small Agriculture Turf segment offers utility tractors , related loaders attachments ; turf utility equipment , including riding lawn equipment , commercial mowing equipment , golf course equipment , utility vehicles , well implements mowing , tilling , snow debris handling , aerating , residential , commercial , golf , sports turf care applications ; outdoor power products ; hay forage equipment . segment also resells products manufacturers . serves dairy livestock producers , crop producers , turf utility customers . Construction Forestry segment provides range backhoe loaders , crawler dozers loaders , four-wheel-drive loaders , excavators , motor graders , articulated dump trucks , landscape skid-steer loaders , milling machines , pavers , compactors , rollers , crushers , screens , asphalt plants , log skidders , log feller bunchers , log loaders forwarders , log harvesters , attachments ; roadbuilding equipment . Financial Services segment finances sales leases agriculture turf , construction forestry equipment . also offers wholesale financing dealers foregoing equipment ; extended equipment warranties , well finances retail revolving charge accounts . Deere & Company founded 1837 headquartered Moline , Illinois .",,Deere & Co,DE US,"549,675",75,0.19,0.69,205.34MLN,"28,017",11/2/2023,United States,Industrials,Industrial Products,Equity,Common Stock,Common Stock,--,--,--,0.24320915341377258
"Monster Beverage Corporation , subsidiaries , engages development , marketing , sale , distribution energy drink beverages concentrates United States internationally . company operates three segments : Finished Product , Concentrate , . offers carbonated non-carbonated energy drinks , ready-to-drink iced teas juice drinks , lemonades , juice cocktails , single-serve juices fruit beverages , ready-to-drink dairy coffee drinks , energy drinks , sports drinks single-serve still waters , sodas considered natural , sparkling juices , flavored sparkling beverages . company sells products full service beverage bottlers/distributors , retail grocery specialty chains , wholesalers , club stores , drug chains , mass merchandisers , convenience chains , health food distributors , food service customers , military ; concentrates and/or beverage bases authorized bottling canning operations . provides products Monster Energy , Monster Energy Ultra , Monster Rehab , Monster Energy Nitro , Java Monster , Punch Monster , Juice Monster , Muscle Monster , Espresso Monster , Monster Hydro Energy Water , Monster Hydro Super Sport , Monster Super Fuel , Monster Dragon Tea , Reign Total Body Fuel , Reign Inferno Thermogenic Fuel , Reign Storm , True North , NOS , Full Throttle , Burn , Mother , Nalu , Ultra Energy , Play Power Play ( stylized ) , Relentless , BPM , BU , Gladiator , Samurai , Live+ , Predator , Fury brands . company formerly known Hansen Natural Corporation changed name Monster Beverage Corporation January 2012 . Monster Beverage Corporation founded 1985 headquartered Corona , California .",,Monster Beverage Corp,MNST US,"1,713,635",231,0.16,0.3,90.24MLN,"12,164.46",11/2/2023,United States,Consumer Staples,Consumer Staple Products,Equity,Common Stock,Common Stock,--,--,--,0.24177780747413635
