Ticker,Security Name,Sector,Industry,Price,Weight,Return,Contribution
[object Object],JPMORGAN US GOVT MMKT FUND IM SHARES  RESTRICTED ,Unclassified,Unclassified,,4.15%,,
TNOTE,UNITED STATES OF AMERICA NOTES FIXED 0.375%,Unclassified,Unclassified,,2.28%,,
[object Object],SKANDIN ENS BANKEN AG CORPORATE COMMERCIAL PAPER,Unclassified,Unclassified,,1.08%,,
CFG V5.284 01/26/26,CITIZENS BANK NA/RI SR UNSECURED 01/26 VAR,Unclassified,Unclassified,,1.02%,,
SUMIBK F 06/06/24 YCD,SUMITOMO MITSUI BANKING CORP/NEW YORK CERTIFICATE,Unclassified,Unclassified,,1.01%,,
[object Object],NORDEA BK ABP NY CERTIFICATE OF DEPOSIT FIXED DTD,Unclassified,Unclassified,,0.92%,,
[object Object],SOCIETE GENERALE CORPORATE COMMERCIAL PAPER,Unclassified,Unclassified,,0.92%,,
CCDJ V5.278 01/23/26 144A,FED CAISSES DESJARDINS 5.278 1/23/2026,Unclassified,Unclassified,,0.89%,,
[object Object],WELLS FARGO SECURITIES LLC 5.9 14D EC2023,Unclassified,Unclassified,,0.89%,,
NACN 5.25 01/17/25,NATIONAL BANK OF CANADA COMPANY GUAR 01/25 5.25,Unclassified,Unclassified,,0.88%,,
[object Object],NORINCHUKIN BK CERTIFICATE OF DEPOSIT FIXED DTD,Unclassified,Unclassified,,0.87%,,
[object Object],NATL AUSTRALIA BK LTD CORPORATE COMMERCIAL PAPER,Unclassified,Unclassified,,0.86%,,
NYLIFE 3.855 08/26/24 144A,NEW YORK LIFE GLOBAL FUNDING NOTES FIXED 3.855%,Unclassified,Unclassified,,0.79%,,
[object Object],SKANDIN ENS BANKEN AG CORPORATE COMMERCIAL PAPER,Unclassified,Unclassified,,0.79%,,
[object Object],COOPERATIEVE CENTRALE CERTIFICATE OF DEPOSIT FIXED,Unclassified,Unclassified,,0.78%,,
CAT F 11/14/24 MTN,CATERPILLAR FINANCIAL SERVICES COR,Unclassified,Unclassified,,0.78%,,
[object Object],BMOCHG YCD 5.8500 07/12/24,Unclassified,Unclassified,,0.77%,,
TOMARI 5.243 02/02/26 144A,RELIANCE STAND LIFE II SECURED 144A 02/26 5.243,Unclassified,Unclassified,,0.74%,,
AER 1.65 10/29/24,AERCAP IRELAND CAP 10/24 1.65,Unclassified,Unclassified,,0.74%,,
[object Object],DNB BANK ASA CORPORATE COMMERCIAL PAPER DISCOUNT,Unclassified,Unclassified,,0.71%,,
[object Object],STANDARD CHRTRD BNKNY CERTIFICATE OF DEPOSIT FIXED,Unclassified,Unclassified,,0.65%,,
[object Object],CREDIT AGRICOLE CRP&IN CERTIFICATE OF DEPOSIT,Unclassified,Unclassified,,0.62%,,
[object Object],ROYAL BANK OF CANADA/NEW YORK NY COMMERCIAL PAPER,Unclassified,Unclassified,,0.60%,,
SHBASS,SVENSKA HANDELSBANKEN AB MTN 144A,Unclassified,Unclassified,,0.60%,,
[object Object],BNP PARIBAS NEW YORK CERTIFICATE OF DEPOSIT FIXED,Unclassified,Unclassified,,0.60%,,
HNDA 5 05/23/25,AMERICAN HONDA FINANCE 5 5/23/2025,Unclassified,Unclassified,,0.59%,,
[object Object],SVENSKA HANDLSBNKN AB CORPORATE COMMERCIAL PAPER,Unclassified,Unclassified,,0.59%,,
[object Object],AUST & NEW ZEA CORPORATE COMMERCIAL PAPER DISCOUNT,Unclassified,Unclassified,,0.57%,,
[object Object],COMMONWEALTH BANK OF AUSTRALIA COMMERCIAL PAPER,Unclassified,Unclassified,,0.57%,,
WFC F 11/04/24 CD,WELLS FARGO BANK NA CERTIFICATE OF DEPOSIT,Unclassified,Unclassified,,0.55%,,
NAB F 10/16/24 YCD,NATIONAL AUSTRALIA BANK LTD/NEW YORK CERTIFICATE,Unclassified,Unclassified,,0.55%,,
FHLB 4.9 11/22/23,FEDERAL HOME LOAN BANKS BOND FIXED 4.9%,Unclassified,Unclassified,,0.54%,,
[object Object],CASH,Unclassified,Unclassified,,0.54%,,
VW F 09/12/25 144A,VOLKSWAGEN GROUP AMERICA COMPANY GUAR 144A 09/25 VAR,Unclassified,Unclassified,,0.53%,,
[object Object],BANCO SANTANDER SA CORPORATE COMMERCIAL PAPER,Unclassified,Unclassified,,0.53%,,
[object Object],LLOYDS BANK PLC CORPORATE COMMERCIAL PAPER,Unclassified,Unclassified,,0.53%,,
BPCEGP,BPCE SA    144A,Unclassified,Unclassified,,0.52%,,
[object Object],MACQUARIE BANK LIMITED CORPORATE COMMERCIAL PAPER,Unclassified,Unclassified,,0.52%,,
[object Object],CITIBANK N.A. NEW YORK CERTIFICATE OF DEPOSIT,Unclassified,Unclassified,,0.52%,,
TOYOTA F 10/16/24 MTN,TOYOTA MTR CRED FRN 10/24,Unclassified,Unclassified,,0.51%,,
MASSMU F 07/10/26 144A,MASSMUTUAL GLB FRN SOFR+98 07/,Unclassified,Unclassified,,0.51%,,
BPCEGP F 09/25/25 144A,BPCE SA FRN 9/25/2025,Unclassified,Unclassified,,0.51%,,
TOYOTA F 08/22/24 MTN,TOYOTA MOTOR CREDIT CORP SR UNSECURED 08/24 VAR,Unclassified,Unclassified,,0.50%,,
[object Object],KOOKMIN BANK NY BRCH CERTIFICATE OF DEPOSIT FIXED,Unclassified,Unclassified,,0.50%,,
[object Object],DNB BANK ASA CORPORATE COMMERCIAL PAPER DISCOUNT,Unclassified,Unclassified,,0.50%,,
ACAFP 5.568 02/28/25 144A,CREDIT AGRICOLE SA NOTES FIXED 5.568% 28/FEB/2025,Unclassified,Unclassified,,0.50%,,
[object Object],LBCMNY YCD 6.0700 10/02/24,Unclassified,Unclassified,,0.50%,,
[object Object],BARCLAYS BANK PLC/NY CERTIFICATE OF DEPOSIT FIXED,Unclassified,Unclassified,,0.49%,,
[object Object],WESTPAC BKING CORP NY CERTIFICATE OF DEPOSIT FIXED,Unclassified,Unclassified,,0.49%,,
[object Object],MUFG BANK LTD NY BRA CORPORATE COMMERCIAL PAPER,Unclassified,Unclassified,,0.49%,,
[object Object],BNP PARIBAS SA/NEW YORK NY CERTIFICATE OF DEPOSIT,Unclassified,Unclassified,,0.49%,,
BAC V5.08 01/20/27,BANK OF AMERICA C V/R 01/20/27,Unclassified,Unclassified,,0.48%,,
[object Object],MIZUHO BANK LTD CERTIFICATE OF DEPOSIT FIXED DTD,Unclassified,Unclassified,,0.47%,,
BFCM,BANQUE FEDERATIVE DU CREDIT MUTUEL MTN 144A,Unclassified,Unclassified,,0.47%,,
[object Object],ROYAL BK CANADA NY BRA CORPORATE COMMERCIAL PAPER,Unclassified,Unclassified,,0.46%,,
[object Object],BARCLAYS BANK PLC/NY CERTIFICATE OF DEPOSIT FIXED,Unclassified,Unclassified,,0.46%,,
VALET 2023-1 A2A,VOLKSWAGEN AUTO LOAN ENHANCED TRUST 2023-1 2023-1,Unclassified,Unclassified,,0.46%,,
[object Object],CITIBANK N.A. NEW YORK CERTIFICATE OF DEPOSIT,Unclassified,Unclassified,,0.45%,,
[object Object],AUST & NEW ZEA CORPORATE COMMERCIAL PAPER DISCOUNT,Unclassified,Unclassified,,0.45%,,
[object Object],TORONTO-DOMINION CERTIFICATE OF DEPOSIT FIXED DTD,Unclassified,Unclassified,,0.45%,,
[object Object],AUST & NEW ZEA CORPORATE COMMERCIAL PAPER DISCOUNT,Unclassified,Unclassified,,0.44%,,
CM F 04/07/25,CANADIAN IMPERIAL BANK SR UNSECURED 04/25 VAR,Unclassified,Unclassified,,0.43%,,
[object Object],HSBC USA INC CORPORATE COMMERCIAL PAPER DISCOUNT,Unclassified,Unclassified,,0.42%,,
[object Object],ING  US  FUNDING LLC CORPORATE COMMERCIAL PAPER,Unclassified,Unclassified,,0.41%,,
[object Object],ING  US  FUNDING LLC CORPORATE COMMERCIAL PAPER,Unclassified,Unclassified,,0.41%,,
[object Object],TORONTO-DOMINION BANK CORPORATE COMMERCIAL PAPER,Unclassified,Unclassified,,0.40%,,
[object Object],CANADIAN IMPERIAL BANK OF COMMERCE/NEW YORK NY,Unclassified,Unclassified,,0.40%,,
CRBG F 09/25/26 144A,COREBRIDGE GLOB FUNDING FRN 9/25/2026,Unclassified,Unclassified,,0.40%,,
WMB 4.55 06/24/24,WILLIAMS COMPANIES INC 4.55 6/24/2024,Unclassified,Unclassified,,0.39%,,
