Ticker,Security Name,Sector,Industry,Price,Weight,Return,Contribution
META,Meta Platforms Inc.,Communication Services,Interactive Media and Services,329.19,2.28%,191.27%,170.96
MSFT,Microsoft Corporation,Information Technology,Software,366.68,2.19%,49.82%,83.08
LLY,Eli Lilly and Company,Health Care,Pharmaceuticals,612.71,2.17%,76.12%,106.69
NVDA,NVIDIA Corporation,Information Technology,Semiconductors and Semiconductor Equipment,486.20,2.05%,197.97%,155.36
AAPL,Apple Inc.,Information Technology,Technology Hardware Storage and Peripherals,184.80,2.03%,24.14%,44.90
GOOGL,Alphabet Inc.,Communication Services,Interactive Media and Services,132.09,2.01%,37.01%,61.96
V,Visa Inc.,Financials,Financial Services,244.67,1.98%,20.30%,38.00
AVGO,Broadcom Inc.,Information Technology,Semiconductors and Semiconductor Equipment,946.93,1.95%,87.63%,103.91
BRKB,Berkshire Hathaway Inc.,Financials,Financial Services,350.01,1.89%,13.01%,24.85
MA,Mastercard Incorporated,Financials,Financial Services,394.35,1.67%,16.94%,27.60
PG,The Procter & Gamble Company,Consumer Staples,Household Products,152.46,1.65%,10.90%,18.44
ADBE,Adobe Inc.,Information Technology,Software,590.34,1.44%,73.04%,69.23
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,147.63,1.39%,-10.27%,-18.12
XOM,Exxon Mobil Corporation,Energy,Oil Gas and Consumable Fuels,104.84,1.38%,-4.09%,-6.72
COST,Costco Wholesale Corporation,Consumer Staples,Consumer Staples Distribution and Retail,578.23,1.36%,13.02%,17.85
HD,The Home Depot Inc.,Consumer Discretionary,Specialty Retail,288.07,1.32%,-6.05%,-9.68
MRK,Merck & Co. Inc.,Health Care,Pharmaceuticals,102.47,1.31%,7.47%,10.34
ABBV,AbbVie Inc.,Health Care,Biotechnology,138.64,1.28%,-3.94%,-6.01
CSCO,Cisco Systems Inc.,Information Technology,Communications Equipment,52.23,1.07%,20.19%,20.50
MCD,McDonald's Corporation,Consumer Discretionary,Hotels Restaurants and Leisure,269.20,1.05%,1.40%,1.65
ACN,Accenture plc,Information Technology,IT Services,315.63,1.04%,10.53%,11.30
CVX,Chevron Corporation,Energy,Oil Gas and Consumable Fuels,144.00,1.03%,-19.96%,-29.40
CRM,Salesforce Inc.,Information Technology,Software,215.28,0.93%,36.49%,28.23
KO,The Coca-Cola Company,Consumer Staples,Beverages,56.93,0.88%,-4.31%,-4.50
INTU,Intuit Inc.,Information Technology,Software,532.18,0.84%,31.37%,22.93
LIN,Linde plc,Materials,Chemicals,399.75,0.18%,22.78%,3.83
AMGN,Amgen Inc.,Health Care,Biotechnology,266.69,0.82%,-3.28%,-3.16
NOW,ServiceNow Inc.,Information Technology,Software,638.41,0.80%,55.74%,32.56
AMAT,Applied Materials Inc.,Information Technology,Semiconductors and Semiconductor Equipment,149.74,0.77%,36.77%,23.56
UNP,Union Pacific Corporation,Industrials,Ground Transportation,209.40,0.76%,-1.24%,-1.08
SPGI,S&P Global Inc.,Financials,Capital Markets,394.81,0.75%,11.94%,9.14
TXN,Texas Instruments Incorporated,Information Technology,Semiconductors and Semiconductor Equipment,145.87,0.75%,-16.18%,-16.52
