Ticker,Security Name,Sector,Industry,Price,Weight,Return,Contribution
AAPL,Apple Inc.,Information Technology,Technology Hardware Storage and Peripherals,184.80,11.15%,24.14%,278.01
MSFT,Microsoft Corporation,Information Technology,Software,366.68,10.51%,49.82%,448.11
AMZN,Amazon.com Inc.,Consumer Discretionary,Broadline Retail,142.59,5.67%,41.47%,213.04
NVDA,NVIDIA Corporation,Information Technology,Semiconductors and Semiconductor Equipment,486.20,4.57%,197.97%,389.17
META,Meta Platforms Inc.,Communication Services,Interactive Media and Services,329.19,3.92%,191.27%,330.00
AVGO,Broadcom Inc.,Information Technology,Semiconductors and Semiconductor Equipment,946.93,3.24%,87.63%,194.19
GOOGL,Alphabet Inc.,Communication Services,Interactive Media and Services,132.09,3.01%,37.01%,104.26
GOOG,Alphabet Inc.,Communication Services,Interactive Media and Services,133.64,2.98%,38.16%,105.38
TSLA,Tesla Inc.,Consumer Discretionary,Automobiles,223.71,2.61%,14.16%,41.45
ADBE,Adobe Inc.,Information Technology,Software,590.34,2.23%,73.04%,120.90
COST,Costco Wholesale Corporation,Consumer Staples,Consumer Staples Distribution and Retail,578.23,2.10%,13.02%,31.03
PEP,PepsiCo Inc.,Consumer Staples,Beverages,167.77,1.89%,-3.20%,-8.00
CSCO,Cisco Systems Inc.,Information Technology,Communications Equipment,52.23,1.76%,20.19%,37.87
NFLX,Netflix Inc.,Communication Services,Entertainment,444.62,1.63%,53.25%,72.46
AMD,Advanced Micro Devices Inc.,Information Technology,Semiconductors and Semiconductor Equipment,116.79,1.57%,61.38%,76.68
TMUS,T-Mobile US Inc.,Communication Services,Wireless Telecommunication Services,147.21,1.43%,0.70%,1.27
CMCSA,Comcast Corporation,Communication Services,Media,41.49,1.42%,25.54%,36.92
INTC,Intel Corporation,Information Technology,Semiconductors and Semiconductor Equipment,38.23,1.34%,28.56%,38.05
INTU,Intuit Inc.,Information Technology,Software,532.18,1.22%,31.37%,37.22
AMGN,Amgen Inc.,Health Care,Biotechnology,266.69,1.17%,-3.28%,-5.10
QCOM,QUALCOMM Incorporated,Information Technology,Semiconductors and Semiconductor Equipment,123.85,1.14%,4.72%,6.58
TXN,Texas Instruments Incorporated,Information Technology,Semiconductors and Semiconductor Equipment,145.87,1.10%,-16.18%,-27.15
AMAT,Applied Materials Inc.,Information Technology,Semiconductors and Semiconductor Equipment,149.74,1.03%,36.77%,35.66
HON,Honeywell International Inc.,Industrials,Industrial Conglomerates,186.51,1.02%,-10.39%,-15.12
SBUX,Starbucks Corporation,Consumer Discretionary,Hotels Restaurants and Leisure,103.51,0.98%,8.53%,9.88
BKNG,Booking Holdings Inc.,Consumer Discretionary,Hotels Restaurants and Leisure,3119.21,0.90%,54.74%,40.84
ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment and Supplies,282.48,0.80%,6.56%,6.32
VRTX,Vertex Pharmaceuticals Incorporated,Health Care,Biotechnology,378.92,0.79%,24.95%,20.26
GILD,Gilead Sciences Inc.,Health Care,Biotechnology,74.93,0.78%,-4.96%,-5.20
ADP,Automatic Data Processing Inc.,Industrials,Professional Services,226.35,0.77%,-7.23%,-7.72
MDLZ,Mondelez International Inc.,Consumer Staples,Food Products,69.30,0.77%,9.39%,8.49
LRCX,Lam Research Corporation,Information Technology,Semiconductors and Semiconductor Equipment,673.43,0.75%,36.24%,25.42
ADI,Analog Devices Inc.,Information Technology,Semiconductors and Semiconductor Equipment,170.66,0.70%,5.98%,5.10
REGN,Regeneron Pharmaceuticals Inc.,Health Care,Biotechnology,796.70,0.70%,8.48%,7.01
MU,Micron Technology Inc.,Information Technology,Semiconductors and Semiconductor Equipment,74.78,0.68%,20.55%,14.81
SNPS,Synopsys Inc.,Information Technology,Software,522.88,0.65%,57.78%,30.40
PANW,Palo Alto Networks Inc.,Information Technology,Software,255.64,0.64%,54.63%,28.82
KLAC,KLA Corporation,Information Technology,Semiconductors and Semiconductor Equipment,528.25,0.60%,41.10%,22.39
CDNS,Cadence Design Systems Inc.,Information Technology,Software,263.94,0.58%,58.14%,27.50
PDD,PDD Holdings Inc.,Consumer Discretionary,Broadline Retail,109.23,0.58%,67.58%,30.15
MELI,MercadoLibre Inc.,Consumer Discretionary,Broadline Retail,1378.29,0.57%,41.38%,21.20
CSX,CSX Corporation,Industrials,Ground Transportation,30.45,0.51%,-3.33%,-2.23
CHTR,Charter Communications Inc.,Communication Services,Media,406.41,0.50%,3.05%,1.91
PYPL,PayPal Holdings Inc.,Financials,Financial Services,54.39,0.49%,-40.25%,-42.63
ORLY,O'Reilly Automotive Inc.,Consumer Discretionary,Specialty Retail,995.92,0.49%,22.11%,11.32
MAR,Marriott International Inc.,Consumer Discretionary,Hotels Restaurants and Leisure,197.71,0.48%,21.99%,11.18
MNST,Monster Beverage Corporation,Consumer Staples,Beverages,55.54,0.48%,13.21%,7.11
ASML,ASML Holding N.V.,Information Technology,Semiconductors and Semiconductor Equipment,654.60,0.47%,14.52%,7.65
CTAS,Cintas Corporation,Industrials,Commercial Services and Supplies,536.27,0.45%,22.38%,10.45
ABNB,Airbnb Inc.,Consumer Discretionary,Hotels Restaurants and Leisure,119.15,0.41%,8.74%,4.26
LULU,Lululemon Athletica Inc.,Consumer Discretionary,Textiles Apparel and Luxury Goods,416.98,0.41%,15.92%,7.26
NXPI,NXP Semiconductors N.V.,Information Technology,Semiconductors and Semiconductor Equipment,184.84,0.39%,11.08%,5.05
