Date,FUND_NET_ASSET_VAL,TOT_RETURN_INDEX_GROSS_DVDS,ALL_BROKERS_ADV_TOT_AGGR_VOL,FUND_FLOW,PX_LAST,TURNOVER,PX_VOLUME,AVERAGE_BID_ASK_SPREAD
11/3/2023,26.3896,27.3043,235154,21.1117,26.4,41123430,1556908,0.0104
11/2/2023,26.0395,26.9423,466154,5.2079,26.05,53004130,2041113,0.0103
11/1/2023,25.5269,26.3941,298809,15.3161,25.52,49016110,1926419,0.0103
10/31/2023,25.3274,26.2079,977676,0,25.34,70823930,2800934,0.0101
10/30/2023,25.1627,26.0218,295238,40.2603,25.16,40406770,1607928,0.0103
10/27/2023,24.9055,25.7632,397655,-34.8677,24.91,50477200,2023498,0.0103
10/26/2023,25.1006,25.9701,370664,7.5302,25.11,52660560,2091717,0.0101
10/25/2023,25.274,26.1355,353948,37.911,25.27,39725250,1568412,0.0101
10/24/2023,25.5957,26.4665,261005,0,25.59,40743010,1592238,0.0103
10/23/2023,25.4466,26.301,581631,7.634,25.43,47333330,1854222,0.0101
10/20/2023,25.5697,26.4355,370084,5.1139,25.56,43329920,1686906,0.0103
10/19/2023,25.8933,26.7768,431316,-181.253,25.89,41962260,1612304,0.0102
10/18/2023,26.1581,27.0664,450857,18.3107,26.17,46088000,1756188,0.0102
10/17/2023,26.5583,27.4801,204599,223.0897,26.57,41398200,1559873,0.0101
10/16/2023,26.4404,27.3353,175395,5.2881,26.43,44036720,1666575,0.0101
10/13/2023,26.1192,27.0353,227814,2.6119,26.14,38700060,1479616,0.0103
10/12/2023,26.2509,27.1491,185377,13.1255,26.25,41815280,1590063,0.0102
10/11/2023,26.5199,27.418,211597,26.5199,26.51,35473890,1341636,0.0103
10/10/2023,26.4484,27.3663,525392,10.5794,26.46,38165720,1440696,0.0103
10/9/2023,26.2732,27.1905,155962,0,26.29,23947420,913590,0.0104
10/6/2023,26.0819,26.9836,330727,26.0819,26.09,46430230,1782439,0.0102
10/5/2023,25.8081,26.7044,191167,10.3232,25.82,35399450,1373312,0.0102
10/4/2023,25.8518,26.7354,292994,23.2666,25.85,56563260,2195278,0.0102
10/3/2023,25.7169,26.632,640811,12.8585,25.75,52937560,2057275,0.0102
10/2/2023,26.078,26.9733,167845,-23.4702,26.08,38817570,1491420,0.0102
9/29/2023,26.2083,27.0974,920593,13.1042,26.2,77718000,2962364,0.0102
9/28/2023,26.3102,27.2215,263617,15.7861,26.32,37348700,1420176,0.0102
9/27/2023,26.1232,27.0147,333161,0,26.12,48273290,1849831,0.0101
9/26/2023,26.0356,26.9423,217158,52.0712,26.05,35674160,1366375,0.0102
9/25/2023,26.4018,27.3353,683269,2.6402,26.43,50377370,1912603,0.0102
9/22/2023,26.2844,27.2008,493032,42.055,26.3,40624740,1540324,0.0101
9/21/2023,26.3395,27.2525,1537814,63.2148,26.35,76342500,2882675,0.0101
9/20/2023,26.7392,27.6662,1575682,21.3914,26.75,71465580,2646623,0.0104
9/19/2023,26.9472,27.8731,1312409,24.2525,26.95,61364190,2279319,0.0101
9/18/2023,27.0092,27.9383,171597,2.7106,27.0133,28641610,1055426,0.0101
9/15/2023,27.0145,27.9589,186893,24.4001,27.0332,37182350,1369013,0.0101
9/14/2023,27.3147,28.2475,270966,5.4825,27.3122,37278640,1361043,0.0105
9/13/2023,27.031,27.9692,212937,16.2767,27.0432,30225480,1113232,0.0106
9/12/2023,27.0923,28.031,218809,0,27.103,31884150,1170481,0.0103
9/11/2023,27.1726,28.1238,156980,8.181,27.1926,28348870,1039100,0.0102
9/8/2023,27.0745,28.0001,166162,16.3028,27.0731,27445110,1009019,0.0102
9/7/2023,27.0395,27.9795,231964,5.4273,27.0531,33252770,1225159,0.0103
9/6/2023,27.1925,28.1135,140788,8.187,27.1827,26649380,977126,0.0105
9/5/2023,27.3392,28.2784,219198,10.9748,27.3421,31736570,1152957,0.0103
9/1/2023,27.6329,28.5978,160909,22.1854,27.651,37799620,1363283,0.0103
