Date,FUND_NET_ASSET_VAL,TOT_RETURN_INDEX_GROSS_DVDS,ALL_BROKERS_ADV_TOT_AGGR_VOL,FUND_FLOW,PX_LAST,TURNOVER,PX_VOLUME,AVERAGE_BID_ASK_SPREAD
11/3/2023,50.0557,57.3483,895945,-17.5195,50.06,2.62E+08,5226503,0.01
11/2/2023,50.0178,57.3025,1061285,-22.508,50.02,2.40E+08,4789184,0.01
11/1/2023,50.0063,57.2795,1357491,100.0127,50,2.86E+08,5723946,0.01
10/31/2023,49.9778,57.255,870448,0,49.9785,1.63E+08,3246583,0.01
10/30/2023,49.9772,57.255,508792,0,49.9785,1.30E+08,2582269,0.01
10/27/2023,49.9636,57.2664,595984,0,49.9884,1.52E+08,3018523,0.01
10/26/2023,49.9494,57.2322,799828,-5.0171,49.9586,1.52E+08,3033612,0.01
10/25/2023,49.9241,57.2094,932819,0,49.9386,1.54E+08,3068248,0.01
10/24/2023,49.9279,57.2322,997674,42.6268,49.9586,1.61E+08,3212875,0.01
10/23/2023,49.9219,57.2094,1489921,0,49.9386,2.11E+08,4198459,0.01
10/20/2023,49.895,57.1866,1643304,20.0465,49.9187,3.09E+08,6159525,0.01
10/19/2023,49.873,57.1409,499126,-25.047,49.8789,1.55E+08,3098237,0.01
10/18/2023,49.8588,57.1181,418276,0,49.859,1.41E+08,2811507,0.01
10/17/2023,49.8546,57.1181,495989,0,49.859,1.19E+08,2381485,0.01
10/16/2023,49.871,57.1295,611287,-25.046,49.869,1.30E+08,2585298,0.01
10/13/2023,49.8562,57.1181,563864,0,49.859,1.58E+08,3145863,0.01
10/12/2023,49.8436,57.1067,608281,0,49.849,1.25E+08,2488584,0.01
10/11/2023,49.8492,57.1067,530308,0,49.849,1.24E+08,2476057,0.01
10/10/2023,49.8455,57.1067,673187,0,49.849,1.38E+08,2761009,0.01
10/9/2023,49.8407,57.0953,433874,0,49.8391,1.15E+08,2305265,0.01
10/6/2023,49.7884,57.0497,592676,40.0073,49.7993,1.49E+08,2968579,0.01
10/5/2023,49.7905,57.0725,527554,230.0515,49.8192,1.59E+08,3179565,0.01
10/4/2023,49.7742,57.0497,1051921,7.4992,49.7993,8.26E+08,16526006,0.01
10/3/2023,49.7507,56.9813,1744983,-24.9856,49.7395,2.98E+08,5968322,0.01
10/2/2023,49.7591,56.9927,1376034,24.9898,49.7495,2.80E+08,5598124,0.01
9/29/2023,49.7581,56.9904,706812,0,49.7475,2.60E+08,5172459,0.0099
9/28/2023,49.7478,57.0131,840622,5.018,49.7673,1.75E+08,3485018,0.0099
9/27/2023,49.7285,56.979,558421,10.0322,49.7376,1.43E+08,2852509,0.0099
9/26/2023,49.7347,56.979,680766,0,49.7376,1.84E+08,3659775,0.0099
9/25/2023,49.7303,56.979,827552,0,49.7376,1.67E+08,3323834,0.0099
9/22/2023,49.7148,56.979,801948,10.0294,49.7376,2.98E+08,5949045,0.0099
9/21/2023,49.6972,56.9563,2597302,62.6616,49.7177,4.36E+08,8697811,0.0099
9/20/2023,49.6914,56.9222,771035,0,49.688,1.60E+08,3194368,0.0099
9/19/2023,49.6915,56.9336,393555,-12.5309,49.6979,1.05E+08,2101791,0.0099
9/18/2023,49.6908,56.9109,541761,-17.543,49.6781,1.48E+08,2944807,0.0099
9/15/2023,49.6701,56.9109,371902,0,49.6781,98102000,1957781,0.0099
9/14/2023,49.6671,56.9109,509892,-32.5643,49.6781,1.39E+08,2765488,0.0099
9/13/2023,49.6616,56.8995,634251,-20.0373,49.6682,1.30E+08,2594471,0.0099
